minute,gold_diff,xp_diff,level_diff,kills_diff,dragons_diff,barons_diff,towers_diff,inhibs_diff,cs_diff,blue_team_won
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
2,92,187,0,0,0,0,0,0,2,1
3,228,31,-1,0,0,0,0,0,-1,1
4,353,329,0,0,0,0,0,0,4,1
5,198,699,1,-1,0,0,0,0,12,1
6,-749,-271,0,-3,0,0,0,0,-3,1
7,754,449,0,0,0,0,0,0,-6,1
8,1151,1035,1,2,0,0,0,0,-15,1
9,1681,1926,1,3,0,0,0,0,-5,1
10,1713,1305,0,3,-1,0,0,0,-11,1
11,3058,2806,3,5,-1,0,0,0,3,1
12,4851,4638,4,7,-1,0,0,0,17,1
13,5233,4782,3,8,-1,0,0,0,17,1
14,6107,5116,5,8,-1,0,1,0,30,1
15,5667,3827,4,9,-1,0,1,0,6,1
16,6376,5497,3,10,-1,0,1,0,21,1
17,6732,6578,5,11,-2,0,3,0,36,1
18,6104,4824,3,10,-2,0,3,0,28,1
19,4159,3545,3,8,-2,0,2,0,16,1
20,2376,1876,1,7,-2,0,1,0,20,1
21,3943,3970,2,9,-2,0,1,0,33,1
22,3981,6471,5,8,-2,0,1,0,45,1
23,3284,4397,3,6,-3,0,2,0,33,1
24,2562,2573,0,5,-3,0,2,0,17,1
25,3977,4808,4,8,-3,0,1,0,14,1
26,6446,10808,8,9,-3,1,1,0,33,1
27,9502,13287,8,13,-3,1,3,1,36,1
28,10290,14171,9,14,-3,1,4,1,37,1
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,17,-37,0,0,0,0,0,0,3,0
3,166,90,0,0,0,0,0,0,10,0
4,220,400,1,1,0,0,0,0,4,0
5,597,306,2,2,0,0,0,0,1,0
6,369,131,1,2,0,0,0,0,-5,0
7,121,-514,-2,2,1,0,0,0,-5,0
8,29,-382,0,2,1,0,0,0,-5,0
9,-350,-916,-1,1,1,0,0,0,-10,0
10,-710,-734,-1,0,1,0,0,0,-5,0
11,-711,-1158,0,1,1,0,0,0,-13,0
12,-378,-1559,-3,0,1,0,1,0,-22,0
13,1635,1069,1,4,2,0,1,0,-15,0
14,1887,1275,0,4,2,0,1,0,-12,0
15,1714,1276,2,4,2,0,1,0,-7,0
16,729,528,0,2,2,0,1,0,-5,0
17,-368,-1157,0,1,2,0,0,0,-10,0
18,-1687,-2959,-4,0,1,0,-1,0,-24,0
19,-1041,-2095,-1,1,1,0,-1,0,-21,0
20,1158,-157,1,4,1,0,0,0,-25,0
21,845,-1255,0,4,1,0,0,0,-38,0
22,-1180,-6731,-5,1,1,0,0,0,-43,0
23,-1253,-6277,-3,1,1,0,0,0,-43,0
24,-189,-5226,-5,2,1,0,0,0,-36,0
25,-2291,-8087,-5,-1,2,0,0,0,-44,0
26,-2259,-7968,-5,-2,2,0,0,0,-28,0
27,-1995,-5965,-2,-5,2,1,0,0,-21,0
28,-3416,-6403,-5,-6,2,1,-3,-1,-14,0
29,-3436,-6166,-3,-6,2,1,-3,-1,-15,0
30,-4917,-9659,-5,-9,2,1,-5,-1,-29,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,45,178,1,0,0,0,0,0,1,0
3,-152,-1,0,0,0,0,0,0,-7,0
4,690,-680,-1,2,0,0,0,0,-24,0
5,583,-970,-1,2,0,0,0,0,-26,0
6,541,-362,0,1,0,0,0,0,-11,0
7,-906,-1370,-2,-2,-1,0,0,0,-17,0
8,-709,-1828,-1,-1,-1,0,0,0,-35,0
9,123,-1563,-3,0,-1,0,0,0,-36,0
10,-107,-1417,-4,-1,-1,0,0,0,-19,0
11,63,-1067,-1,-1,-1,0,0,0,-16,0
12,-935,-2488,-4,-2,-1,0,0,0,-33,0
13,-600,-1625,0,-1,-2,0,0,0,-30,0
14,-1363,-3042,-3,-2,-2,0,0,0,-50,0
15,-3826,-4844,-5,-6,-2,0,-1,0,-58,0
16,-4304,-3903,-3,-6,-2,0,-3,0,-58,0
17,-5914,-6475,-6,-10,-2,0,-3,0,-77,0
18,-5867,-8041,-6,-11,-2,0,-2,0,-89,0
19,-7550,-10271,-8,-13,-3,0,-3,0,-108,0
20,-5798,-8588,-5,-11,-3,0,-3,0,-111,0
21,-7058,-11761,-9,-14,-3,0,-3,0,-111,0
22,-7285,-15231,-10,-15,-3,0,-3,0,-113,0
23,-6842,-15987,-11,-16,-3,0,-2,0,-109,0
24,-8802,-17616,-10,-19,-3,0,-3,0,-112,0
25,-8145,-16755,-11,-20,-4,0,-4,-1,-124,0
26,-6451,-14195,-9,-19,-4,0,-4,-1,-100,0
27,-9209,-17899,-13,-23,-4,0,-6,-1,-117,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,-16,-174,0,0,0,0,0,0,-3,0
3,-510,-379,0,-1,0,0,0,0,-9,0
4,47,323,0,0,0,0,0,0,-6,0
5,-87,252,3,0,0,0,0,0,-15,0
6,401,469,0,1,0,0,0,0,-12,0
7,-420,-463,0,0,1,0,0,0,-32,0
8,-7,-124,2,1,1,0,0,0,-23,0
9,-272,98,0,0,1,0,0,0,-11,0
10,669,-300,0,2,1,0,0,0,-14,0
11,1431,1024,2,3,1,0,0,0,5,0
12,1732,831,1,4,0,0,0,0,-6,0
13,1188,718,1,4,0,0,0,0,-11,0
14,65,-428,0,2,0,0,0,0,-15,0
15,-821,-920,0,0,0,0,0,0,-10,0
16,-1781,-2554,-2,-1,0,0,0,0,-20,0
17,663,118,1,2,0,0,0,0,3,0
18,-400,-1409,-1,1,-1,0,-1,0,-12,0
19,-259,-1452,-2,0,-1,0,-1,0,9,0
20,-2102,-3566,-3,-2,-1,0,-2,0,-9,0
21,-2226,-3609,-4,-2,-1,0,-2,0,-10,0
22,-4357,-8434,-6,-6,-1,0,-2,0,-8,0
23,-5733,-9826,-7,-7,-1,0,-3,0,-25,0
24,-5734,-9987,-5,-7,-2,0,-3,0,-29,0
25,-8719,-13595,-10,-11,-2,0,-4,0,-46,0
26,-9907,-16256,-9,-11,-2,-1,-4,0,-41,0
27,-15115,-22321,-13,-17,-2,-1,-8,-1,-79,0
28,-15116,-22321,-13,-17,-2,-1,-8,-1,-79,0
0,0,0,0,0,0,0,0,0,0,1
1,-25,0,0,0,0,0,0,0,-1,1
2,-40,4,0,0,0,0,0,0,-3,1
3,-303,-509,-1,0,0,0,0,0,-18,1
4,-431,-185,0,-1,0,0,0,0,-9,1
5,-338,-323,0,-1,0,0,0,0,-13,1
6,-1071,-860,-1,-2,0,0,0,0,-24,1
7,-1774,-971,-2,-3,0,0,0,0,-23,1
8,-2990,-1223,-2,-5,1,0,0,0,-22,1
9,-3801,-1536,-1,-6,1,0,0,0,-30,1
10,-3980,-1555,-1,-6,1,0,0,0,-34,1
11,-5911,-2815,-3,-9,1,0,0,0,-58,1
12,-6062,-2725,-3,-9,1,0,0,0,-64,1
13,-5968,-2727,-3,-9,1,0,0,0,-74,1
14,-7617,-3472,-4,-11,1,0,-1,0,-85,1
15,-9197,-5005,-5,-12,1,0,-3,0,-131,1
16,-9791,-5385,-5,-14,0,0,-3,0,-117,1
17,-10221,-4628,-4,-14,0,0,-4,0,-117,1
18,-11195,-4741,-2,-14,0,0,-5,0,-116,1
19,-11900,-3753,-3,-15,0,0,-6,-1,-111,1
20,-12802,-4918,-4,-16,0,0,-7,-1,-113,1
21,-12914,-7185,-3,-17,0,0,-7,-1,-102,1
22,-12844,-5549,-4,-17,0,0,-8,-2,-88,1
23,-13104,-4570,-2,-17,-1,0,-8,-2,-98,1
24,-11297,-1417,-1,-15,-1,0,-9,-2,-84,1
25,-7452,2211,1,-12,-1,0,-9,-2,-60,1
26,-8491,1088,3,-14,-1,0,-9,-2,-60,1
27,-9635,-2467,-1,-14,-1,-1,-9,-2,-58,1
28,-10829,-4366,-3,-14,-1,-1,-9,-5,-78,1
29,-10354,-2798,-1,-14,-1,-1,-10,-5,-59,1
30,-9364,-1236,0,-14,-2,-1,-10,-5,-51,1
31,-7911,1205,1,-14,-2,-1,-10,-5,-17,1
32,-7303,2212,3,-14,-2,-1,-10,-5,-10,1
33,-7491,437,-1,-14,-2,-2,-10,-5,15,1
34,-5011,4174,2,-11,-2,-2,-10,-5,22,1
35,-3670,3335,1,-12,-2,-2,-6,-4,31,1
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,-52,-88,0,0,0,0,0,0,-2,0
3,-488,-401,-2,-1,0,0,0,0,-7,0
4,-661,-270,-1,-2,0,0,0,0,2,0
5,-725,-811,-1,-2,0,0,0,0,-7,0
6,-671,-963,-1,-2,0,0,0,0,-2,0
7,-500,-1123,-1,-1,0,0,0,0,-8,0
8,-499,-1473,-2,-1,0,0,0,0,-9,0
9,-279,-1136,-1,-1,0,0,0,0,-3,0
10,-179,-993,-1,-1,0,0,0,0,7,0
